Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
39,g GOLDMT,462.600000,+,5.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
40,g SEATAC,462.725000,+,5.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
41, MURS 1,151.820000,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,2.5W,,,,,
42, MURS 2,151.880000,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,2.5W,,,,,
43, MURS 3,151.940000,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,2.5W,,,,,
44, MURS 4,154.570000,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,2.5W,,,,,
45, MURS 5,154.600000,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,2.5W,,,,,
46,WSFerry,151.040000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,2.5W,WSFerries Deck operations,,,,
47,WX KHB60,162.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,0.5W,NOAA Cougar Mtn / KIH36 Neah Bay,,,,
48,WX KAD93,162.525000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,0.5W,NOAA Blaine area,,,,
49,WX WXM62,162.475000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,0.5W,NOAA Capitol Peak,,,,
50,WX WXN21,162.400000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,0.5W,NOAA Cle Elum / KEC91 Astoria,,,,
51,WX WWG24,162.425000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,0.5W,NOAA Puget Sound Marine Forecast,,,,
52, AHOY 2m,146.520000,split,146.520000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
55,DBLNICKL,146.550000,split,146.550000,Tone,91.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
56,AHOY 446,446.000000,split,446.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
57,56 SMPLX,146.560000,split,146.560000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
58,ADVNTURE,146.580000,split,146.580000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
59,SQUIRREL,147.480000,split,147.480000,Tone,91.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
60,McDONALD,146.840000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
61, NewHrzn,146.980000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
62, BRENTON,146.680000,-,0.600000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
63,SaltSprg,147.320000,+,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
64,VE7RPT,146.940000,-,0.600000,Tone,136.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
65,Bham ECG,442.250000,+,5.000000,Tone,156.7,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
66,CLALLAM,146.760000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
67,Pt Towns,145.150000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
68,BLYN EQO,442.100000,+,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
69,MT CONST,146.740000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
70, LYMAN,145.190000,-,0.600000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
71,u CAMANO,441.050000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
72,Granite,146.925000,-,0.600000,Tone,156.7,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,WA7DEM,,,,
73,vEVERETT,147.180000,+,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
74,BuckK7DK,440.950000,+,5.000000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
75,Bainbrdg,444.475000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
76,KITSAP W,145.425000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,KD7WDG,,,,
77,GOLD MTN,146.620000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
78,BawFawPk,147.060000,+,0.600000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
79,ASHFORD,145.250000,-,0.600000,Tone,151.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
80,CrawfrDK,147.380000,+,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
81,Tig RAS,147.100000,+,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
82, MICnKEY,146.820000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
83, STR CGR,147.080000,+,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
84, WA7HJR,444.650000,+,5.000000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
85,Snov ARC,441.825000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
86,GRASSMTN,145.370000,-,0.600000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
87,N7OEP S,443.175000,+,5.000000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
